metric,count,missing,mean,standard_deviation,minimum,q1,median,q3,maximum
constraint_reduction_ratio,1399,0,-0.952672340957827,3.3334288231048137,-57,-0.5,0,0,1
constraints_added,1399,0,27.579699785561115,188.31572745541698,0,0,1,7,2953
feature_reduction_ratio,1399,0,0.3854630128663331,0.22200289971757414,0,0.219756,0.357143,0.5407625,0.979592
net_constraint_change,1399,0,25.534667619728378,198.24980280524346,-2281,0,1,7,2953
original_constraints,1399,0,14.821300929235168,133.53668682288767,0,0,0,3,3455
original_features,1399,0,37.689778413152254,78.17082356308967,3,14,22,37,854
removed_atomic_set_features,1399,0,3.5954253037884203,9.69554455445383,0,0,1,3,104
removed_core_features,1399,0,8.015010721944245,8.621955404863881,0,3,6,10.5,118
removed_dead_features,1399,0,0.3902787705503931,2.7731220419022895,0,0,0,0,68
simplified_constraints,1399,0,40.355968548963546,275.7067271141755,0,1,4,11,3987
simplified_features,1399,0,25.68906361686919,66.71468804798545,1,8,13,24,796
