metric,count,missing,mean,standard_deviation,minimum,q1,median,q3,maximum
constraint_reduction_ratio,120,0,-0.511647725,0.5287848616996061,-5.852792,-0.596657,-0.48382899999999995,-0.358192,0.149883
constraints_added,120,0,438.19166666666666,337.0282210419648,0,316.5,413,519.25,3632
feature_reduction_ratio,120,0,0.48528543333333335,0.045038794863635365,0.048101,0.48387274999999996,0.48841049999999997,0.49399899999999997,0.552557
net_constraint_change,120,0,434.9916666666667,342.0895380318029,-192,316.5,413,519.25,3632
original_constraints,120,0,894.7916666666666,198.19788498024963,197,861.5,880,895.5,2833
original_features,120,0,1274.8666666666666,125.58467854238366,1178,1235.75,1262,1281,2513
removed_atomic_set_features,120,0,534.225,50.92546250248923,63,519,532,550,626
removed_core_features,120,0,21.15,20.09458725564648,3,4,4,42,93
removed_dead_features,120,0,60.65,27.04513811756781,6,47,54.5,60,185
simplified_constraints,120,0,1329.7833333333333,494.2186462570218,939,1190,1285,1394.25,6465
simplified_features,120,0,658.8416666666667,126.64036261230868,603,627.5,644,659,1713
