column,missing_count,missing_percentage
input_file,0,0
output_file,0,0
original_features,0,0
simplified_features,0,0
feature_reduction_ratio,0,0
original_constraints,0,0
simplified_constraints,0,0
constraint_reduction_ratio,0,0
removed_core_features,0,0
removed_dead_features,0,0
removed_atomic_set_features,0,0
full_reduction,0,0
calculated_feature_reduction_ratio,0,0
calculated_constraint_reduction_ratio,745,0.49045424621461486
feature_ratio_difference,0,0
constraint_ratio_difference,745,0.49045424621461486
net_constraint_change,0,0
constraints_added,0,0
removed_features_reported,0,0
removed_features_from_sizes,0,0
removed_count_difference,0,0
model_size_group,0,0
