input_file,original_features,simplified_features,feature_reduction_ratio,original_constraints,simplified_constraints,constraint_reduction_ratio
dataset_10/uvl/automotive01.uvl,2513,1713,0.318345,2833,6465,-1.282033
dataset_12/uvl/uClibc.uvl,313,229,0.268371,56,1712,-29.571429
dataset_12/uvl/uClinux-distribution.uvl,1580,1504,0.048101,197,1350,-5.852792
dataset_20/uvl/REAL-FM-13.uvl,12,9,0.25,2,6,-2
dataset_20/uvl/REAL-FM-15.uvl,25,14,0.44,3,12,-3
dataset_20/uvl/REAL-FM-17.uvl,25,15,0.4,4,17,-3.25
dataset_20/uvl/REAL-FM-19.uvl,30,10,0.666667,8,0,1
dataset_20/uvl/REAL-FM-2.uvl,23,17,0.26087,2,17,-7.5
dataset_20/uvl/REAL-FM-5.uvl,17,7,0.588235,13,2,0.846154
dataset_20/uvl/REAL-FM-6.uvl,11,8,0.272727,2,7,-2.5
dataset_20/uvl/model_20091129_1734444143.uvl,12,9,0.25,1,3,-2
dataset_20/uvl/model_20091205_755658379.uvl,94,48,0.489362,2,32,-15
dataset_20/uvl/model_20100213_206550190.uvl,38,21,0.447368,8,19,-1.375
dataset_20/uvl/model_20100324_1996898492.uvl,11,3,0.727273,3,0,1
dataset_20/uvl/model_20100326_770562654.uvl,27,22,0.185185,2,10,-4
dataset_20/uvl/model_20100415_240595643.uvl,31,23,0.258065,2,7,-2.5
dataset_20/uvl/model_20100719_944437142.uvl,29,25,0.137931,6,32,-4.333333
dataset_20/uvl/model_20100730_1366577700.uvl,32,26,0.1875,5,0,1
dataset_20/uvl/model_20101124_661702924.uvl,15,10,0.333333,3,15,-4
dataset_20/uvl/model_20110214_751339643.uvl,56,8,0.857143,84,0,1
dataset_20/uvl/model_20110318_225131257.uvl,15,3,0.8,4,0,1
dataset_20/uvl/model_20110329_10104623.uvl,41,37,0.097561,5,13,-1.6
dataset_20/uvl/model_20110330_919429247.uvl,25,18,0.28,2,6,-2
dataset_20/uvl/model_20110407_1283128166.uvl,51,38,0.254902,1,5,-4
dataset_20/uvl/model_20110428_553405269.uvl,37,13,0.648649,4,14,-2.5
dataset_20/uvl/model_20110525_1619420630.uvl,45,27,0.4,5,17,-2.4
dataset_20/uvl/model_20110712_1373520081.uvl,66,30,0.545455,2,5,-1.5
dataset_20/uvl/model_20110826_1574631601.uvl,52,21,0.596154,4,0,1
dataset_20/uvl/model_20110915_1159959623.uvl,10,9,0.1,2,7,-2.5
dataset_20/uvl/model_20111201_1252018702.uvl,61,59,0.032787,2,18,-8
dataset_20/uvl/model_20111220_1184087779.uvl,15,12,0.2,1,16,-15
dataset_20/uvl/model_20120110_1094246588.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20120110_1256867454.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20120110_139114401.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20120110_1719396361.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20120110_1754443954.uvl,10,8,0.2,1,6,-5
dataset_20/uvl/model_20120110_855603964.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20120113_1803352101.uvl,43,38,0.116279,2,17,-7.5
dataset_20/uvl/model_20120122_258977494.uvl,19,14,0.263158,5,13,-1.6
dataset_20/uvl/model_20120201_1444061231.uvl,38,25,0.342105,11,26,-1.363636
dataset_20/uvl/model_20120202_114979109.uvl,22,13,0.409091,5,14,-1.8
dataset_20/uvl/model_20120328_573707444.uvl,34,20,0.411765,1,16,-15
dataset_20/uvl/model_20120408_404695779.uvl,70,67,0.042857,1,23,-22
dataset_20/uvl/model_20120411_196667302.uvl,26,16,0.384615,3,15,-4
dataset_20/uvl/model_20120419_1397354511.uvl,20,14,0.3,2,6,-2
dataset_20/uvl/model_20120522_87989914.uvl,35,33,0.057143,20,103,-4.15
dataset_20/uvl/model_20120529_2101702978.uvl,35,27,0.228571,23,60,-1.608696
dataset_20/uvl/model_20120731_787433291.uvl,43,31,0.27907,3,16,-4.333333
dataset_20/uvl/model_20120806_904481092.uvl,17,10,0.411765,1,5,-4
dataset_20/uvl/model_20120909_341305614.uvl,32,24,0.25,2,5,-1.5
dataset_20/uvl/model_20120915_487659597.uvl,20,14,0.3,1,7,-6
dataset_20/uvl/model_20121123_1668268132.uvl,13,8,0.384615,2,8,-3
dataset_20/uvl/model_20121123_913179730.uvl,17,10,0.411765,1,6,-5
dataset_20/uvl/model_20121214_211817376.uvl,14,11,0.214286,2,7,-2.5
dataset_20/uvl/model_20130115_768867592.uvl,11,4,0.636364,1,0,1
dataset_20/uvl/model_20130116_382639902.uvl,31,20,0.354839,9,32,-2.555556
dataset_20/uvl/model_20130117_2075912065.uvl,13,1,0.923077,5,0,1
dataset_20/uvl/model_20130121_710180273.uvl,10,1,0.9,3,0,1
dataset_20/uvl/model_20130122_1064508817.uvl,12,2,0.833333,7,0,1
dataset_20/uvl/model_20130226_1908057354.uvl,16,9,0.4375,3,10,-2.333333
dataset_20/uvl/model_20130305_522520932.uvl,16,8,0.5,3,9,-2
dataset_20/uvl/model_20130307_609838668.uvl,176,127,0.278409,4,20,-4
dataset_20/uvl/model_20130418_1158438101.uvl,19,13,0.315789,2,21,-9.5
dataset_20/uvl/model_20130529_552715089.uvl,17,10,0.411765,1,6,-5
dataset_20/uvl/model_20130621_2143921379.uvl,29,24,0.172414,5,13,-1.6
dataset_20/uvl/model_20130703_1107240012.uvl,64,59,0.078125,2,47,-22.5
dataset_20/uvl/model_20130726_597280131.uvl,47,36,0.234043,7,38,-4.428571
dataset_20/uvl/model_20130821_1446947208.uvl,49,1,0.979592,0,0,0
dataset_20/uvl/model_20131109_2060894287.uvl,14,10,0.285714,3,8,-1.666667
dataset_20/uvl/model_20131111_1434736548.uvl,34,20,0.411765,3,9,-2
dataset_20/uvl/model_20131112_1191150070.uvl,57,25,0.561404,1,3,-2
dataset_20/uvl/model_20131112_1840652917.uvl,17,11,0.352941,1,0,1
dataset_20/uvl/model_20131114_87095598.uvl,57,28,0.508772,4,13,-2.25
dataset_20/uvl/model_20131121_194495737.uvl,12,9,0.25,2,7,-2.5
dataset_20/uvl/model_20131129_1765219729.uvl,14,11,0.214286,2,7,-2.5
dataset_20/uvl/model_20131129_1795005487.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20131129_2135897376.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20131203_151571988.uvl,54,18,0.666667,1,8,-7
dataset_20/uvl/model_20131206_684654596.uvl,12,9,0.25,2,7,-2.5
dataset_20/uvl/model_20131210_413521746.uvl,13,9,0.307692,3,7,-1.333333
dataset_20/uvl/model_20140205_954857783.uvl,11,10,0.090909,2,7,-2.5
