input_file,output_file,original_features,simplified_features,feature_reduction_ratio,original_constraints,simplified_constraints,constraint_reduction_ratio,removed_core_features,removed_dead_features,removed_atomic_set_features,full_reduction
dataset_1/uvl/dm_mobile_phone.csv.uvl,dataset_1/uvl/dm_mobile_phone.csv.uvl,11,11,0,1,1,0,0,0,0,FALSE
dataset_12/uvl/axTLS.uvl,dataset_12/uvl/axTLS.uvl,96,48,0.5,14,23,-0.642857,24,12,12,FALSE
dataset_12/uvl/uClibc.uvl,dataset_12/uvl/uClibc.uvl,313,229,0.268371,56,1712,-29.571429,41,27,16,FALSE
dataset_12/uvl/uClinux-base.uvl,dataset_12/uvl/uClinux-base.uvl,380,184,0.515789,3455,1174,0.660203,114,68,14,TRUE
dataset_16/uvl/chat_system.uvl,dataset_16/uvl/chat_system.uvl,10,7,0.3,2,3,-0.5,2,0,1,FALSE
dataset_17/uvl/ovm_MPPL.ovm.uvl,dataset_17/uvl/ovm_MPPL.ovm.uvl,10,10,0,1,1,0,0,0,0,FALSE
dataset_18/uvl/ovm_OnlineShop.ovm.uvl,dataset_18/uvl/ovm_OnlineShop.ovm.uvl,14,10,0.285714,4,4,0,3,0,1,FALSE
dataset_2/uvl/dm_ASEJ1.csv.uvl,dataset_2/uvl/dm_ASEJ1.csv.uvl,109,109,0,96,96,0,0,0,0,FALSE
dataset_2/uvl/dm_DOPLERTools.csv.uvl,dataset_2/uvl/dm_DOPLERTools.csv.uvl,50,50,0,15,15,0,0,0,0,FALSE
dataset_2/uvl/dm_DissModel.csv.uvl,dataset_2/uvl/dm_DissModel.csv.uvl,116,116,0,0,0,0,0,0,0,FALSE
dataset_20/uvl/DELL-LAPTOP-NOTEBOOK-FM.uvl,dataset_20/uvl/DELL-LAPTOP-NOTEBOOK-FM.uvl,47,38,0.191489,105,158,-0.504762,7,0,2,FALSE
dataset_20/uvl/REAL-FM-1.uvl,dataset_20/uvl/REAL-FM-1.uvl,88,71,0.193182,0,19,0,11,0,6,FALSE
dataset_20/uvl/REAL-FM-10.uvl,dataset_20/uvl/REAL-FM-10.uvl,14,7,0.5,0,0,0,4,0,3,FALSE
dataset_20/uvl/REAL-FM-11.uvl,dataset_20/uvl/REAL-FM-11.uvl,67,19,0.716418,4,4,0,36,0,12,FALSE
dataset_20/uvl/REAL-FM-12.uvl,dataset_20/uvl/REAL-FM-12.uvl,14,12,0.142857,2,2,0,2,0,0,FALSE
dataset_20/uvl/REAL-FM-13.uvl,dataset_20/uvl/REAL-FM-13.uvl,12,9,0.25,2,6,-2,2,0,1,FALSE
dataset_20/uvl/REAL-FM-14.uvl,dataset_20/uvl/REAL-FM-14.uvl,18,12,0.333333,0,5,0,2,0,4,FALSE
dataset_20/uvl/REAL-FM-15.uvl,dataset_20/uvl/REAL-FM-15.uvl,25,14,0.44,3,12,-3,7,0,4,FALSE
dataset_20/uvl/REAL-FM-16.uvl,dataset_20/uvl/REAL-FM-16.uvl,26,19,0.269231,3,4,-0.333333,6,0,1,FALSE
dataset_20/uvl/REAL-FM-17.uvl,dataset_20/uvl/REAL-FM-17.uvl,25,15,0.4,4,17,-3.25,8,0,2,FALSE
dataset_20/uvl/REAL-FM-18.uvl,dataset_20/uvl/REAL-FM-18.uvl,44,36,0.181818,8,15,-0.875,7,0,1,FALSE
