metric,mean,standard_deviation,count,metric_normalized,metric_found,recalculated_mean,recalculated_standard_deviation,recalculated_count,mean_difference,standard_deviation_difference,count_difference
original_features,135.425938,343.837218,NA,original_features,TRUE,135.42593811718237,343.9504527946246,1519,-1.1718236692104256e-7,-0.11323479462458863,NA
simplified_features,75.707702,185.796363,NA,simplified_features,TRUE,75.70770243581303,185.85755064122824,1519,-4.358130354376044e-7,-0.06118764122822995,NA
feature_reduction_ratio,0.393349,0.215042,NA,feature_reduction_ratio,TRUE,0.3933489183673469,0.21511326432208133,1519,8.163265308169798e-8,-7.126432208132139e-5,NA
original_constraints,84.338381,275.371306,NA,original_constraints,TRUE,84.33838051349572,275.46199314174584,1519,4.865042768642525e-7,-0.09068714174583192,NA
simplified_constraints,142.219882,458.327285,NA,simplified_constraints,TRUE,142.2198815009875,458.4782244758883,1519,4.990125148651714e-7,-0.15093947588826495,NA
constraint_reduction_ratio,-0.917832,3.20354,NA,constraint_reduction_ratio,TRUE,-0.9178316866359447,3.204595037917921,1519,-3.1336405525994593e-7,-0.0010550379179212754,NA
removed_core_features,9.052666,10.611451,NA,removed_core_features,TRUE,9.052666227781435,10.614945423244382,1519,-2.277814346030027e-7,-0.0034944232443816503,NA
removed_dead_features,5.150757,18.126839,NA,removed_dead_features,TRUE,5.150757077024358,18.132808192814995,1519,-7.70243584469199e-8,-0.005969192814994528,NA
removed_atomic_set_features,45.514812,144.139227,NA,removed_atomic_set_features,TRUE,45.514812376563526,144.1866960049475,1519,-3.7656352702697404e-7,-0.04746900494748729,NA
full_reduction,NA,NA,118,full_reduction,TRUE,NA,NA,NA,NA,NA,NA
