input_file,output_file,original_features,simplified_features,feature_reduction_ratio,original_constraints,simplified_constraints,constraint_reduction_ratio,removed_core_features,removed_dead_features,removed_atomic_set_features,full_reduction
dataset_10/uvl/automotive01.uvl,dataset_10/uvl/automotive01.uvl,2513,1713,0.318345,2833,6465,-1.282033,93,185,522,FALSE
dataset_11/uvl/XSEngine.uvl,dataset_11/uvl/XSEngine.uvl,1273,668,0.475255,886,1249,-0.409707,42,46,517,FALSE
dataset_11/uvl/aaed2000.uvl,dataset_11/uvl/aaed2000.uvl,1298,680,0.476117,904,1591,-0.759956,42,54,522,FALSE
dataset_11/uvl/adder.uvl,dataset_11/uvl/adder.uvl,1285,642,0.500389,890,1168,-0.31236,4,44,595,FALSE
dataset_11/uvl/adderII.uvl,dataset_11/uvl/adderII.uvl,1289,644,0.500388,890,1473,-0.655056,4,44,597,FALSE
dataset_11/uvl/aeb.uvl,dataset_11/uvl/aeb.uvl,1226,625,0.490212,875,1399,-0.598857,42,58,501,FALSE
dataset_11/uvl/aim711.uvl,dataset_11/uvl/aim711.uvl,1277,650,0.490995,912,1130,-0.239035,42,49,536,FALSE
dataset_11/uvl/aki3068net.uvl,dataset_11/uvl/aki3068net.uvl,1220,625,0.487705,851,1462,-0.717979,4,46,545,FALSE
dataset_11/uvl/am31_sim.uvl,dataset_11/uvl/am31_sim.uvl,1178,603,0.488115,819,1422,-0.736264,4,53,518,FALSE
dataset_11/uvl/asb.uvl,dataset_11/uvl/asb.uvl,1244,651,0.476688,851,1331,-0.564042,4,57,532,FALSE
dataset_11/uvl/asb2305.uvl,dataset_11/uvl/asb2305.uvl,1255,652,0.480478,857,1382,-0.612602,4,66,533,FALSE
dataset_11/uvl/assabet.uvl,dataset_11/uvl/assabet.uvl,1279,645,0.4957,927,1557,-0.679612,42,73,519,FALSE
dataset_11/uvl/at91sam7sek.uvl,dataset_11/uvl/at91sam7sek.uvl,1309,654,0.500382,917,1431,-0.560523,42,79,534,FALSE
dataset_11/uvl/at91sam7xek.uvl,dataset_11/uvl/at91sam7xek.uvl,1332,674,0.493994,928,1305,-0.40625,42,66,550,FALSE
dataset_11/uvl/atlas_mips32_4kc.uvl,dataset_11/uvl/atlas_mips32_4kc.uvl,1229,633,0.484947,859,1476,-0.718277,3,47,546,FALSE
dataset_11/uvl/atlas_mips64_5kc.uvl,dataset_11/uvl/atlas_mips64_5kc.uvl,1222,630,0.484452,857,1351,-0.576429,4,47,541,FALSE
dataset_11/uvl/brutus.uvl,dataset_11/uvl/brutus.uvl,1234,624,0.494327,876,1370,-0.563927,42,61,507,FALSE
dataset_11/uvl/calm16_ceb.uvl,dataset_11/uvl/calm16_ceb.uvl,1186,610,0.485666,830,939,-0.131325,4,54,518,FALSE
dataset_11/uvl/calm32_ceb.uvl,dataset_11/uvl/calm32_ceb.uvl,1186,610,0.485666,830,939,-0.131325,4,54,518,FALSE
dataset_11/uvl/ceb_v850.uvl,dataset_11/uvl/ceb_v850.uvl,1202,618,0.485857,843,1277,-0.514828,4,51,529,FALSE
dataset_11/uvl/cerf.uvl,dataset_11/uvl/cerf.uvl,1289,656,0.491078,935,1369,-0.464171,42,57,534,FALSE
dataset_11/uvl/cerfpda.uvl,dataset_11/uvl/cerfpda.uvl,1304,662,0.492331,946,1403,-0.483087,42,57,543,FALSE
dataset_11/uvl/cma230.uvl,dataset_11/uvl/cma230.uvl,1225,624,0.490612,868,1263,-0.455069,43,58,500,FALSE
dataset_11/uvl/cma28x.uvl,dataset_11/uvl/cma28x.uvl,1217,621,0.489729,849,1268,-0.493522,4,54,538,FALSE
dataset_11/uvl/cme555.uvl,dataset_11/uvl/cme555.uvl,1279,660,0.483972,863,1159,-0.34299,4,55,560,FALSE
dataset_11/uvl/cq7708.uvl,dataset_11/uvl/cq7708.uvl,1252,623,0.502396,858,1382,-0.610723,3,97,529,FALSE
dataset_11/uvl/cq7750.uvl,dataset_11/uvl/cq7750.uvl,1281,618,0.517564,864,1255,-0.452546,3,133,527,FALSE
dataset_11/uvl/csb281.uvl,dataset_11/uvl/csb281.uvl,1246,646,0.481541,871,1152,-0.322618,4,36,560,FALSE
dataset_11/uvl/dreamcast.uvl,dataset_11/uvl/dreamcast.uvl,1266,620,0.510269,867,1384,-0.596309,4,111,531,FALSE
dataset_11/uvl/e7t.uvl,dataset_11/uvl/e7t.uvl,1280,668,0.478125,883,1062,-0.202718,42,47,523,FALSE
dataset_11/uvl/ea2468.uvl,dataset_11/uvl/ea2468.uvl,1408,664,0.528409,956,1197,-0.252092,42,149,553,FALSE
dataset_11/uvl/eb40.uvl,dataset_11/uvl/eb40.uvl,1253,634,0.494014,890,1619,-0.819101,42,60,517,FALSE
dataset_11/uvl/eb40a.uvl,dataset_11/uvl/eb40a.uvl,1254,634,0.494418,890,1256,-0.411236,42,60,518,FALSE
